,intel_image_param_search_0_0,intel_image_param_search_0_1,intel_image_param_search_0_2,intel_image_param_search_0_3,intel_image_param_search_0_4,intel_image_param_search_0_5,intel_image_param_search_0_6,intel_image_param_search_0_7,intel_image_param_search_0_8,intel_image_param_search_0_9,intel_image_param_search_0_10,intel_image_param_search_0_11,intel_image_param_search_0_12,intel_image_param_search_0_13,intel_image_param_search_0_14,intel_image_param_search_0_15,,,,,,,,,,,,,,,,
dbName,intel_images_1,intel_images_1,intel_images_1,intel_images_1,intel_images_1,intel_images_1,intel_images_1,intel_images_1,intel_images_1,intel_images_1,intel_images_1,intel_images_1,intel_images_1,intel_images_1,intel_images_1,intel_images_1,,,,,,,,,,,,,,,,
num_trials,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,
maxIterations,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,
numLLEpochs,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,,,,,,,,,,,,,,,
fineTuneEpochs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
numDenseNeurons,512,1024,512,1024,512,1024,512,1024,512,1024,512,1024,512,1024,512,1024,,,,,,,,,,,,,,,,
labelSmoothing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
dropoutRate,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,,,,,,,,,,,,,
LLLearningRate,0.01,0.01,0.001,0.001,0.0001,0.0001,1.00E-05,1.00E-05,0.01,0.01,0.001,0.001,0.0001,0.0001,1.00E-05,1.00E-05,,,,,,,,,,,,,,,,
fineTuneLearningRate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
batchSize,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,,,,,,,,,,,,,,,,
weightClasses,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,
augmentImages,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,
useValidation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,
checkpointCriteria,val_categorical_accuracy,val_categorical_accuracy,val_categorical_accuracy,val_categorical_accuracy,val_categorical_accuracy,val_categorical_accuracy,val_categorical_accuracy,val_categorical_accuracy,val_categorical_accuracy,val_categorical_accuracy,val_categorical_accuracy,val_categorical_accuracy,val_categorical_accuracy,val_categorical_accuracy,val_categorical_accuracy,val_categorical_accuracy,,,,,,,,,,,,,,,,
writeFinalModel,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,
remoteDB,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,
evaluationSize,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,,,,,,,,,,,,,,,,
TVPoolSize,2000,2000,2000,2000,2000,2000,2000,2000,10000,10000,10000,10000,10000,10000,10000,10000,,,,,,,,,,,,,,,,
validationRatio,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,,,,,,,,,,,,,,,
predictionSize,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,,,,,,,,,,,,,,,,
citizenWeight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
confidentThreshold,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
numALSamplesPerIter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
activeLearningLabeler,simulated,simulated,simulated,simulated,simulated,simulated,simulated,simulated,simulated,simulated,simulated,simulated,simulated,simulated,simulated,simulated,,,,,,,,,,,,,,,,
alSelectionCriteria,random,random,random,random,random,random,random,random,random,random,random,random,random,random,random,random,,,,,,,,,,,,,,,,
SSLType,boosted,boosted,boosted,boosted,boosted,boosted,boosted,boosted,boosted,boosted,boosted,boosted,boosted,boosted,boosted,boosted,,,,,,,,,,,,,,,,
classNoise,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]",,,,,,,,,,,,,,,,
classImbalance,"[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]",,,,,,,,,,,,,,,,
